Achtergrond,Background,
Bruine Rat,Brown Rat,Rattus norvegicus
Grote Bonte Specht,Great Spotted Woodpecker,Dendrocopos major
Heggenmus,Dunnock,Prunella modularis
Hond,Dog,Canis familiaris
Houtduif,Wood Pigeon,Columba palumbus
Iets sp,Something sp.,
Kauw,Jackdaw,Coloeus monedula
Koolmees,Great Tit,Parus major
Merel M,Blackbird (male),Turdus merula
Merel VJ,Blackbird (female/juvenile),Turdus merula
Pimpelmees,Blue Tit,Cyanistes caeruleus
Roodborst,Robin,Erithacus rubecula
Turkse Tortel,Collared Dove,turkse tortel
Zanglijster,Song Thrush,Turdus philomelos
